target_id,target_name,matched_candidate_id,matched_candidate_name,matched_attribute1,matched_attribute2,matched_attribute3,append_attribute1,append_attribute2,append_attribute3,similarity_score,matched_scorer
,JULIA BROWNLEY,N00034254,JULIA BROWNLEY,D,CA,26,2016,,,100.0,WRatio
,DANIEL LIPINSKI,N00027239,DANIEL LIPINSKI,D,IL,3,2016,,,100.0,WRatio
,DAVID ROUZER,N00033527,DAVID ROUZER,R,NC,7,2016,,,100.0,WRatio
,ERIK PAULSEN,N00029391,ERIK PAULSEN,R,MN,3,2016,,,100.0,WRatio
,DAVID YOUNG,N00035509,DAVID YOUNG,R,IA,3,2016,,,100.0,WRatio
,ANDRÉ CARSON,N00029513,ANDRE CARSON,D,IN,7,2016,,,88.0,WRatio
,RICHARD NOLAN,N00021207,RICK NOLAN,D,MN,8,2016,,,78.26086956521739,WRatio
,PATRICK MCHENRY,N00026627,PATRICK MCHENRY,R,NC,10,2016,,,100.0,WRatio
,TIM HUELSKAMP,N00027649,TIM HUELSKAMP,R,KS,1,2016,,,100.0,WRatio
,WILL HURD,N00031417,WILL HURD,R,TX,23,2016,,,100.0,WRatio
,EARL CARTER,N00035346,BUDDY CARTER,R,GA,1,2016,,,77.77777777777779,partial_ratio
,GREGG HARPER,N00029632,GREGG HARPER,R,MS,3,2016,,,100.0,WRatio
,DOUG LAMBORN,N00028133,DOUGLAS L LAMBORN,R,CO,5,2016,,,82.75862068965517,WRatio
,K. CONAWAY,N00026041,MIKE CONAWAY,R,TX,11,2016,,,90.0,partial_ratio
,ROBERT WITTMAN,N00029459,ROB WITTMAN,R,VA,1,2016,,,88.0,WRatio
,RANDY HULTGREN,N00031104,RANDY HULTGREN,R,IL,14,2016,,,100.0,WRatio
,MARTHA ROBY,N00030768,MARTHA ROBY,R,AL,2,2016,,,100.0,WRatio
,BLAKE FARENTHOLD,N00031672,BLAKE FARENTHOLD,R,TX,27,2016,,,100.0,WRatio
,MARK WALKER,N00035311,MARK WALKER,R,NC,6,2016,,,100.0,WRatio
,DAVE TROTT,N00035607,DAVE TROTT,R,MI,11,2016,,,100.0,WRatio
,KENNY MARCHANT,N00026710,KENNY MARCHANT,R,TX,24,2016,,,100.0,WRatio
,JACKIE SPEIER,N00029649,JACKIE SPEIER,D,CA,14,2016,,,100.0,WRatio
,VICKY HARTZLER,N00031005,VICKY HARTZLER,R,MO,4,2016,,,100.0,WRatio
,MARKWAYNE MULLIN,N00033410,MARKWAYNE MULLIN,R,OK,2,2016,,,100.0,WRatio
,WALTER JONES,N00002299,WALTER B JONES JR,R,NC,3,2016,,,100.0,token_set_ratio
,FILEMON VELA,N00034349,FILEMON VELA,D,TX,34,2016,,,100.0,WRatio
,DIANE BLACK,N00031539,DIANE BLACK,R,TN,6,2016,,,100.0,WRatio
,DAVID MCKINLEY,N00031681,DAVID MCKINLEY,R,WV,1,2016,,,100.0,WRatio
,ALMA ADAMS,N00035451,ALMA ADAMS,D,NC,12,2016,,,100.0,WRatio
,MIKE KELLY,N00031647,MIKE KELLY,R,PA,3,2016,,,100.0,WRatio
,SUZAN DELBENE,N00030693,SUZAN DELBENE,D,WA,1,2016,,,100.0,WRatio
,PETE SESSIONS,N00005681,PETE SESSIONS,R,TX,32,2016,,,100.0,WRatio
,STEVE WOMACK,N00031857,STEVE WOMACK,R,AR,3,2016,,,100.0,WRatio
,MARK MEADOWS,N00033631,MARK R MEADOWS,R,NC,11,2016,,,100.0,token_set_ratio
,MARCIA FUDGE,N00030490,MARCIA L FUDGE,D,OH,11,2016,,,100.0,token_set_ratio
,DEREK KILMER,N00034453,DEREK KILMER,D,WA,6,2016,,,100.0,WRatio
,MARK AMODEI,N00031177,MARK AMODEI,R,NV,2,2016,,,100.0,WRatio
,KAY GRANGER,N00008799,KAY GRANGER,R,TX,12,2016,,,100.0,WRatio
,DOUG COLLINS,N00033518,DOUG COLLINS,R,GA,9,2016,,,100.0,WRatio
,JEFF FORTENBERRY,N00026631,JEFF FORTENBERRY,R,NE,1,2016,,,100.0,WRatio
,JIM COSTA,N00026341,JIM COSTA,D,CA,16,2016,,,100.0,WRatio
,MIA LOVE,N00033842,MIA LOVE,R,UT,4,2016,,,100.0,WRatio
,JEB HENSARLING,N00024922,JEB HENSARLING,R,TX,5,2016,,,100.0,WRatio
,MIKE QUIGLEY,N00030581,MIKE QUIGLEY,D,IL,5,2016,,,100.0,WRatio
,MARSHA BLACKBURN,N00003105,MARSHA BLACKBURN,R,TN,7,2016,,,100.0,WRatio
,GARY PALMER,N00035691,GARY PALMER,R,AL,6,2016,,,100.0,WRatio
,ROGER WILLIAMS,N00030602,ROGER WILLIAMS,R,TX,25,2016,,,100.0,WRatio
,LUKE MESSER,N00012546,LUKE MESSER,R,IN,6,2016,,,100.0,WRatio
,TOM MACARTHUR,N00036155,THOMAS MACARTHUR,R,NJ,3,2016,,,89.65517241379311,WRatio
,ANN KUSTER,N00030875,ANN MCLANE KUSTER,D,NH,2,2016,,,100.0,token_set_ratio
,HAROLD ROGERS,N00003473,HAL ROGERS,R,KY,5,2016,,,86.95652173913044,WRatio
,RAÚL LABRADOR,N00031377,RAUL LABRADOR,R,ID,1,2016,,,88.88888888888889,WRatio
,DAVID LOEBSACK,N00027741,DAVID LOEBSACK,D,IA,2,2016,,,100.0,WRatio
,COLLIN PETERSON,N00004558,COLLIN PETERSON,D,MN,7,2016,,,100.0,WRatio
,BARBARA COMSTOCK,N00036023,BARBARA COMSTOCK,R,VA,10,2016,,,100.0,WRatio
,DENNY HECK,N00031557,DENNIS HECK,D,WA,10,2016,,,85.71428571428572,WRatio
,JOE COURTNEY,N00024842,JOE COURTNEY,D,CT,2,2016,,,100.0,WRatio
,ELISE STEFANIK,N00035523,ELISE STEFANIK,R,NY,21,2016,,,100.0,WRatio
,GWEN MOORE,N00026914,GWEN MOORE,D,WI,4,2016,,,100.0,WRatio
,RODNEY FRELINGHUYSEN,N00000684,RODNEY FRELINGHUYSEN,R,NJ,11,2016,,,100.0,WRatio
,SEAN MALONEY,N00034277,SEAN PATRICK MALONEY,D,NY,18,2016,,,100.0,token_set_ratio
,EMANUEL CLEAVER,N00026790,EMANUEL CLEAVER,D,MO,5,2016,,,100.0,WRatio
,KEN BUCK,N00030829,KENNETH R BUCK,R,CO,4,2016,,,85.5,WRatio
,JOE WILSON,N00024809,JOE WILSON,R,SC,2,2016,,,100.0,WRatio
,MICHAEL DOYLE,N00001373,MIKE DOYLE,D,PA,14,2016,,,78.26086956521739,WRatio
,BRAD SHERMAN,N00006897,BRAD SHERMAN,D,CA,30,2016,,,100.0,WRatio
,DORIS MATSUI,N00027459,DORIS O MATSUI,D,CA,6,2016,,,100.0,token_set_ratio
,TONY CÁRDENAS,N00033373,TONY CARDENAS,D,CA,29,2016,,,88.88888888888889,WRatio
,BRAD WENSTRUP,N00033310,BRAD WENSTRUP,R,OH,2,2016,,,100.0,WRatio
,BRADLEY BYRNE,N00035380,BRADLEY BYRNE,R,AL,1,2016,,,100.0,WRatio
,KATHERINE CLARK,N00035278,KATHERINE CLARK,D,MA,5,2016,,,100.0,WRatio
,TOM MCCLINTOCK,N00006863,TOM MCCLINTOCK,R,CA,4,2016,,,100.0,WRatio
,CHERI BUSTOS,N00033390,CHERI BUSTOS,D,IL,17,2016,,,100.0,WRatio
,STEVE COHEN,N00003225,STEVE COHEN,D,TN,9,2016,,,100.0,WRatio
,ADAM SMITH,N00007833,ADAM SMITH,D,WA,9,2016,,,100.0,WRatio
,FRANK LOBIONDO,N00000851,FRANK A LOBIONDO,R,NJ,2,2016,,,100.0,token_set_ratio
,JARED HUFFMAN,N00033030,JARED HUFFMAN,D,CA,2,2016,,,100.0,WRatio
,TED POE,N00026457,TED POE,R,TX,2,2016,,,100.0,WRatio
,DEVIN NUNES,N00007248,DEVIN NUNES,R,CA,22,2016,,,100.0,WRatio
,NIKI TSONGAS,N00029026,NIKI TSONGAS,D,MA,3,2016,,,100.0,WRatio
,BILL HUIZENGA,N00030673,BILL HUIZENGA,R,MI,2,2016,,,100.0,WRatio
,NITA LOWEY,N00001024,NITA M LOWEY,D,NY,17,2016,,,100.0,token_set_ratio
,EVAN JENKINS,N00035531,EVAN JENKINS,R,WV,3,2016,,,100.0,WRatio
,ADRIAN SMITH,N00027623,ADRIAN SMITH,R,NE,3,2016,,,100.0,WRatio
,MAC THORNBERRY,N00006052,MAC THORNBERRY,R,TX,13,2016,,,100.0,WRatio
,ELIZABETH ESTY,N00033217,ELIZABETH ESTY,D,CT,5,2016,,,100.0,WRatio
,ROBERT LATTA,N00012233,BOB LATTA,R,OH,5,2016,,,80.0,partial_ratio
,PAUL COOK,N00034224,PAUL COOK,R,CA,8,2016,,,100.0,WRatio
,DONALD NORCROSS,N00036154,DON NORCROSS,D,NJ,1,2016,,,90.9090909090909,partial_ratio
,ED PERLMUTTER,N00027510,EDWIN G PERLMUTTER,D,CO,7,2016,,,91.66666666666666,partial_ratio
,PATRICK MURPHY,N00033091,PATRICK MURPHY,D,FL,18,2016,,,100.0,WRatio
,TIMOTHY WALZ,N00027467,TIM WALZ,D,MN,1,2016,,,85.5,WRatio
,TAMMY DUCKWORTH,N00027860,TAMMY DUCKWORTH,D,IL,8,2016,,,100.0,WRatio
,DONALD PAYNE,N00034639,DONALD M PAYNE JR,D,NJ,10,2016,,,100.0,token_set_ratio
,JUAN VARGAS,N00007021,JUAN VARGAS,D,CA,51,2016,,,100.0,WRatio
,STEVE KNIGHT,N00035820,STEVE KNIGHT,R,CA,25,2016,,,100.0,WRatio
,JODY HICE,N00032243,JODY B HICE,R,GA,10,2016,,,100.0,token_set_ratio
,JOHN RATCLIFFE,N00035972,JOHN LEE RATCLIFFE,R,TX,4,2016,,,100.0,token_set_ratio
,JEFF DUNCAN,N00030752,JEFF DUNCAN,R,SC,3,2016,,,100.0,WRatio
,RON DESANTIS,N00034746,RON DESANTIS,R,FL,6,2016,,,100.0,WRatio
,LINDA SÁNCHEZ,N00024870,LINDA SANCHEZ,D,CA,38,2016,,,88.88888888888889,WRatio
,ERIC SWALWELL,N00033508,ERIC SWALWELL,D,CA,15,2016,,,100.0,WRatio
,PETE OLSON,N00029285,PETE OLSON,R,TX,22,2016,,,100.0,WRatio
,AMI BERA,N00030717,AMI BERA,D,CA,7,2016,,,100.0,WRatio
,ROB WOODALL,N00032416,ROB WOODALL,R,GA,7,2016,,,100.0,WRatio
,JIM COOPER,N00003132,JIM COOPER,D,TN,5,2016,,,100.0,WRatio
,CATHY RODGERS,N00026314,CATHY MCMORRIS RODGERS,R,WA,5,2016,,,100.0,token_set_ratio
,PAUL GOSAR,N00030771,PAUL GOSAR,R,AZ,4,2016,,,100.0,WRatio
,SCOTT TIPTON,N00027509,SCOTT TIPTON,R,CO,3,2016,,,100.0,WRatio
,JOHN SHIMKUS,N00004961,JOHN SHIMKUS,R,IL,15,2016,,,100.0,WRatio
,JOAQUIN CASTRO,N00033316,JOAQUIN CASTRO,D,TX,20,2016,,,100.0,WRatio
,RICHARD HANNA,N00030197,RICHARD HANNA,R,NY,22,2016,,,100.0,WRatio
,RICK ALLEN,N00033720,RICHARD W ALLEN,R,GA,12,2016,,,85.5,WRatio
,JAIME HERRERA BEUTLER,N00031559,JAIME HERRERA BEUTLER,R,WA,3,2016,,,100.0,WRatio
,TIM WALBERG,N00026368,TIM WALBERG,R,MI,7,2016,,,100.0,WRatio
,MIKE COFFMAN,N00024753,MIKE COFFMAN,R,CO,6,2016,,,100.0,WRatio
,HENRY JOHNSON,N00027848,HANK JOHNSON,D,GA,4,2016,,,80.0,WRatio
,EDWARD ROYCE,N00008264,ED ROYCE,R,CA,39,2016,,,93.33333333333333,partial_ratio
,SETH MOULTON,N00035431,SETH MOULTON,D,MA,6,2016,,,100.0,WRatio
,TOM EMMER,N00035440,TOM EMMER,R,MN,6,2016,,,100.0,WRatio
,ALEXANDER MOONEY,N00033814,ALEX MOONEY,R,WV,2,2016,,,81.4814814814815,WRatio
,LOIS CAPPS,N00007232,LOIS CAPPS,D,CA,24,2016,,,100.0,WRatio
,TOM REED,N00030949,TOM REED,R,NY,23,2016,,,100.0,WRatio
,BRENDA LAWRENCE,N00034068,BRENDA LAWRENCE,D,MI,14,2016,,,100.0,WRatio
,KATHY CASTOR,N00027514,KATHY CASTOR,D,FL,14,2016,,,100.0,WRatio
,XAVIER BECERRA,N00009774,XAVIER BECERRA,D,CA,34,2016,,,100.0,WRatio
,DONALD BEYER,N00036018,DON BEYER,D,VA,8,2016,,,87.5,partial_ratio
,KEITH ROTHFUS,N00031253,KEITH J ROTHFUS,R,PA,12,2016,,,100.0,token_set_ratio
,DAVID BRAT,N00036013,DAVE BRAT,R,VA,7,2016,,,84.21052631578948,token_set_ratio
,ROD BLUM,N00033744,ROD BLUM,R,IA,1,2016,,,100.0,WRatio
,KYRSTEN SINEMA,N00033983,KYRSTEN SINEMA,D,AZ,9,2016,,,100.0,WRatio
,JASON CHAFFETZ,N00028958,JASON CHAFFETZ,R,UT,3,2016,,,100.0,WRatio
,CHRISTOPHER SMITH,N00009816,CHRIS SMITH,R,NJ,4,2016,,,85.5,WRatio
,JOHN LEWIS,N00002577,JOHN LEWIS,D,GA,5,2016,,,100.0,WRatio
,BRIAN HIGGINS,N00027060,BRIAN M HIGGINS,D,NY,26,2016,,,100.0,token_set_ratio
,JAMES HIMES,N00029070,JIM HIMES,D,CT,4,2016,,,80.0,WRatio
,BARRY LOUDERMILK,N00035347,BARRY LOUDERMILK,R,GA,11,2016,,,100.0,WRatio
,GREG WALDEN,N00007690,GREG WALDEN,R,OR,2,2016,,,100.0,WRatio
,ALAN LOWENTHAL,N00033274,ALAN LOWENTHAL,D,CA,47,2016,,,100.0,WRatio
,CAROLYN MALONEY,N00000078,CAROLYN B MALONEY,D,NY,12,2016,,,100.0,token_set_ratio
,PAUL TONKO,N00030196,PAUL TONKO,D,NY,20,2016,,,100.0,WRatio
,RANDY NEUGEBAUER,N00026043,RANDY NEUGEBAUER,R,TX,19,2016,,,100.0,WRatio
,STEVE ISRAEL,N00013345,STEVE ISRAEL,D,NY,3,2016,,,100.0,WRatio
,BETTY MCCOLLUM,N00012942,BETTY MCCOLLUM,D,MN,4,2016,,,100.0,WRatio
,MIMI WALTERS,N00035391,MIMI WALTERS,R,CA,45,2016,,,100.0,WRatio
,JOHN CULBERSON,N00009738,JOHN CULBERSON,R,TX,7,2016,,,100.0,WRatio
,MARK POCAN,N00033549,MARK POCAN,D,WI,2,2016,,,100.0,WRatio
,JERROLD NADLER,N00000939,JERROLD NADLER,D,NY,10,2016,,,100.0,WRatio
,TREY GOWDY,N00030880,TREY GOWDY,R,SC,4,2016,,,100.0,WRatio
,TODD ROKITA,N00031741,TODD ROKITA,R,IN,4,2016,,,100.0,WRatio
,ANDY HARRIS,N00029147,ANDY HARRIS,R,MD,1,2016,,,100.0,WRatio
,PETE AGUILAR,N00033997,PETE AGUILAR,D,CA,31,2016,,,100.0,WRatio
,DIANA DEGETTE,N00006134,DIANA DEGETTE,D,CO,1,2016,,,100.0,WRatio
,STEVE SCALISE,N00009660,STEVE SCALISE,R,LA,1,2016,,,100.0,WRatio
,BETO O�ROURKE,N00033540,BETO O'ROURKE,D,TX,16,2016,,,85.71428571428572,WRatio
,BRUCE WESTERMAN,N00035527,BRUCE WESTERMAN,R,AR,4,2016,,,100.0,WRatio
,MICHAEL CAPUANO,N00000267,MICHAEL E CAPUANO,D,MA,7,2016,,,100.0,token_set_ratio
,VIRGINIA FOXX,N00026166,VIRGINIA FOXX,R,NC,5,2016,,,100.0,WRatio
,JAMES RENACCI,N00031127,JIM RENACCI,R,OH,16,2016,,,84.21052631578947,partial_ratio
,TOM GRAVES,N00030788,TOM GRAVES,R,GA,14,2016,,,100.0,WRatio
,LEONARD LANCE,N00000898,LEONARD LANCE,R,NJ,7,2016,,,100.0,WRatio
,RANDY WEBER,N00033539,RANDY WEBER,R,TX,14,2016,,,100.0,WRatio
,THOMAS MASSIE,N00034041,THOMAS MASSIE,R,KY,4,2016,,,100.0,WRatio
,CHRISTOPHER GIBSON,N00031998,CHRIS GIBSON,R,NY,19,2016,,,85.5,WRatio
,TED LIEU,N00035825,TED LIEU,D,CA,33,2016,,,100.0,WRatio
,BILL PASCRELL,N00000751,BILL PASCRELL JR,D,NJ,9,2016,,,100.0,partial_ratio
,MIKE THOMPSON,N00007419,MIKE THOMPSON,D,CA,5,2016,,,100.0,WRatio
,SANDER LEVIN,N00003950,SANDER LEVIN,D,MI,9,2016,,,100.0,WRatio
,DAN NEWHOUSE,N00036403,DANIEL MILTON NEWHOUSE,R,WA,4,2016,,,90.9090909090909,partial_ratio
,DEBBIE DINGELL,N00036149,DEBBIE DINGELL,D,MI,12,2016,,,100.0,WRatio
,RON KIND,N00004403,RON KIND,D,WI,3,2016,,,100.0,WRatio
,MICHELLE LUJAN GRISHAM,N00029400,MICHELLE LUJAN GRISHAM,D,NM,1,2016,,,100.0,WRatio
,PAUL RYAN,N00004357,PAUL RYAN,R,WI,1,2016,,,100.0,WRatio
,CHRIS VAN HOLLEN,N00013820,CHRIS VAN HOLLEN,D,MD,8,2016,,,100.0,WRatio
,BARBARA LEE,N00008046,BARBARA LEE,D,CA,13,2016,,,100.0,WRatio
,MARTHA MCSALLY,N00033982,MARTHA MCSALLY,R,AZ,2,2016,,,100.0,WRatio
,MICHAEL SIMPSON,N00006263,MIKE SIMPSON,R,ID,2,2016,,,81.81818181818181,partial_ratio
,SAM GRAVES,N00013323,SAM GRAVES,R,MO,6,2016,,,100.0,WRatio
,BOB GIBBS,N00031128,BOB GIBBS,R,OH,7,2016,,,100.0,WRatio
,LARRY BUCSHON,N00031227,LARRY BUCSHON,R,IN,8,2016,,,100.0,WRatio
,GARLAND BARR,N00031233,ANDY BARR,R,KY,6,2016,,,94.11764705882352,partial_ratio
,TED YOHO,N00033220,TED YOHO,R,FL,3,2016,,,100.0,WRatio
,ERIC CRAWFORD,N00030770,RICK CRAWFORD,R,AR,1,2016,,,96.0,partial_ratio
,KURT SCHRADER,N00030071,KURT SCHRADER,D,OR,5,2016,,,100.0,WRatio
,JOHN GARAMENDI,N00030856,JOHN GARAMENDI,D,CA,3,2016,,,100.0,WRatio
,CHRIS STEWART,N00033932,CHRIS STEWART,R,UT,2,2016,,,100.0,WRatio
,JAMES LANGEVIN,N00009724,JIM LANGEVIN,D,RI,2,2016,,,85.71428571428572,partial_ratio
,MIKE ROGERS,N00024759,MIKE D ROGERS,R,AL,3,2016,,,100.0,token_set_ratio
,SUZANNE BONAMICI,N00033474,SUZANNE BONAMICI,D,OR,1,2016,,,100.0,WRatio
,FRANK LUCAS,N00005559,FRANK D LUCAS,R,OK,3,2016,,,100.0,token_set_ratio
,ELIOT ENGEL,N00001003,ELIOT L ENGEL,D,NY,16,2016,,,100.0,token_set_ratio
,ALCEE HASTINGS,N00002884,ALCEE L HASTINGS,D,FL,20,2016,,,100.0,token_set_ratio
,JUDY CHU,N00030600,JUDY CHU,D,CA,27,2016,,,100.0,WRatio
,TERRI SEWELL,N00030622,TERRI A SEWELL,D,AL,7,2016,,,100.0,token_set_ratio
,TULSI GABBARD,N00033281,TULSI GABBARD,D,HI,2,2016,,,100.0,WRatio
,JOHN LARSON,N00000575,JOHN B LARSON,D,CT,1,2016,,,100.0,token_set_ratio
,GERALD CONNOLLY,N00029891,GERRY CONNOLLY,D,VA,11,2016,,,82.75862068965517,WRatio
,SANFORD BISHOP,N00002674,SANFORD BISHOP,D,GA,2,2016,,,100.0,WRatio
,AL GREEN,N00026686,AL GREEN,D,TX,9,2016,,,100.0,WRatio
,CHARLES FLEISCHMANN,N00030815,CHUCK FLEISCHMANN,R,TN,3,2016,,,82.75862068965517,partial_ratio
,MIKE BISHOP,N00036449,MIKE BISHOP,R,MI,8,2016,,,100.0,WRatio
,BOB DOLD,N00031103,BOB DOLD,R,IL,10,2016,,,100.0,WRatio
,CHARLES RANGEL,N00000964,CHARLES B RANGEL,D,NY,13,2016,,,100.0,token_set_ratio
,SCOTT PETERS,N00033591,SCOTT PETERS,D,CA,52,2016,,,100.0,WRatio
,ROBERT PITTENGER,N00034416,ROBERT PITTENGER,R,NC,9,2016,,,100.0,WRatio
,BILL FOSTER,N00029139,BILL FOSTER,D,IL,11,2016,,,100.0,WRatio
,ROBERT HURT,N00031265,ROBERT HURT,R,VA,5,2016,,,100.0,WRatio
,RAUL RUIZ,N00033510,RAUL RUIZ,D,CA,36,2016,,,100.0,WRatio
,SAM FARR,N00007312,SAM FARR,D,CA,20,2016,,,100.0,WRatio
,RICK LARSEN,N00009759,RICK LARSEN,D,WA,2,2016,,,100.0,WRatio
,THOMAS ROONEY,N00029018,TOM ROONEY,R,FL,17,2016,,,86.95652173913044,WRatio
,BILL FLORES,N00031545,BILL FLORES,R,TX,17,2016,,,100.0,WRatio
,JOHN DELANEY,N00033897,JOHN K DELANEY,D,MD,6,2016,,,100.0,token_set_ratio
,STEVE STIVERS,N00029574,STEVE STIVERS,R,OH,15,2016,,,100.0,WRatio
,LLOYD DOGGETT,N00006023,LLOYD DOGGETT,D,TX,35,2016,,,100.0,WRatio
,CHARLES BOUSTANY,N00026595,CHARLES W BOUSTANY JR,R,LA,3,2016,,,100.0,token_set_ratio
,BRAD ASHFORD,N00005293,BRAD ASHFORD,D,NE,2,2016,,,100.0,WRatio
,BILL JOHNSON,N00032088,BILL JOHNSON,R,OH,6,2016,,,100.0,WRatio
,SCOTT GARRETT,N00000743,SCOTT GARRETT,R,NJ,5,2016,,,100.0,WRatio
,DOUG LAMALFA,N00033987,DOUG LAMALFA,R,CA,1,2016,,,100.0,WRatio
,LYNN WESTMORELAND,N00026163,LYNN A WESTMORELAND,R,GA,3,2016,,,100.0,token_set_ratio
,JOHN MICA,N00002793,JOHN L MICA,R,FL,7,2016,,,100.0,token_set_ratio
,FRANK GUINTA,N00030801,FRANK GUINTA,R,NH,1,2016,,,100.0,WRatio
