Subject,Body,Unix Timestamp,BioGuide ID,Congress,First Name,Last Name,Date of Birth,Gender,State,District,Party Full,Chamber,Nickname,ID,Date,Full Name,Party Truncated,Party
One Week," View this email in your browser ( / ** One Week ------------------------------------------------------------ February 16, 2020 Today marks one week left for California to comply with federal law and stop discriminating against pro-life Californians by forcing health insurance plans to include abortion. This issue is not only about protecting life but about protecting civil liberties. I hope state authorities make the right decision and finally begin to comply with federal law. Otherwise, California is at risk of losing critical federal funds important to our way of life. The state government still has time to change course, and I hope they make the right decision. ============================================================ ** Facebook ( ** Instagram ( ** Twitter ( ** YouTube ( ** Website ( ** Sign up for email updates ( Copyright © 2020 House of Representatives, All rights reserved. Leader Kevin McCarthy Our mailing address is: House of Representatives United States Capitol Washington, DC 20515-0001 USA Want to change how you receive these emails? You can ** update your preferences ( or **   from this list ( .",1.58186E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174238,2020-02-16,KEVIN MCCARTHY,R,R
The Leader's Daily Schedule - 2/13/20,"Kevin McCarthy - Republican Leader Leader's Daily Schedule THURSDAY, FEBRUARY 13TH On Thursday, the House will meet at 9:00 a.m. for legislative business. First and last votes expected: 10:30 a.m. - 11:30 a.m. One Minute Speeches . 79 ( - Removing the deadline for the ratification of the equal rights amendment (Closed Rule, One Hour of Debate) (Sponsored by Rep. Jackie Speier / Judiciary Committee) Special Order Speeches Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.58155E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174394,2020-02-12,KEVIN MCCARTHY,R,R
The Leader's Daily Schedule - 2/12/20,"Kevin McCarthy - Republican Leader Leader's Daily Schedule WEDNESDAY, FEBRUARY 12TH On Wednesday, the House will meet at 10:00 a.m. for morning hour and 12:00 p.m. for legislative business. First and last votes expected: 3:30 p.m. - 4:30 p.m. One Minute Speeches H.R. 2546 ( - Protecting America's Wilderness Act (Sponsored by Rep. Diana DeGette / Natural Resources Committee) The Rule provides for one hour of general debate and makes in order the following amendments: Rep. Diana DeGette Amendment (10 minutes of debate) Rep. Tom McClintock Amendment #1 (10 minutes of debate) Rep. Tom McClintock Amendment #2 (10 minutes of debate) Rep. Anthony Brown Amendment (10 minutes of debate) Rep. Jimmy Panetta Amendment (10 minutes of debate) Rep. Bruce Westerman Amendment #1 (10 minutes of debate) Rep. Bruce Westerman Amendment #2 (10 minutes of debate) Reps. Cunningham / Tipton Amendment (10 minutes of debate) Rep. Scott Tipton Amendment #1 (10 minutes of debate) Rep. Scott Tipton Amendment #2 (10 minutes of debate) Rep. Derek Kilmer Amendment (10 minutes of debate) Rep. Kim Schrier Amendment (10 minutes of debate) Special Order Speeches Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.58146E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174428,2020-02-11,KEVIN MCCARTHY,R,R
The Leader's Daily Schedule - 2/11/20,"Kevin McCarthy - Republican Leader Leader's Daily Schedule TUESDAY, FEBRUARY 11TH On Tuesday, the House will meet at 10:00 a.m. for morning hour and 12:00 p.m. for legislative business. First and last votes expected: 1:30 p.m. - 2:30 p.m. One Minute Speeches Legislation Considered Under Suspension of the Rules: 1) H.R. 1980 ( - Smithsonian Women's History Museum Act (Sponsored by Rep. Carolyn Maloney / House Administration Committee) Special Order Speeches Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.58138E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174448,2020-02-11,KEVIN MCCARTHY,R,R
The Leader's Daily Schedule - 2/10/20,"Kevin McCarthy - Republican Leader Leader's Daily Schedule MONDAY, FEBRUARY 10TH On Monday, the House will meet at 12:00 p.m. for morning hour and 2:00 p.m. for legislative business. Votes will be postponed until 6:30 p.m. One Minute Speeches Legislation Considered Under Suspension of the Rules: 1) H.R. 1494 ( - Historically Black Colleges and Universities (HBCUs) Homeland Security Partnerships Act, as amended (Sponsored by Rep. Bennie Thompson / Homeland Security Committee) 2) S. 2107 ( - Protecting America's Food and Agriculture Act of 2019 (Sponsored by Sen. Gary Peters / Homeland Security Committee) 3) H.R. 5273 ( - Securing America's Ports Act (Sponsored by Rep. Xochitl Torres Small / Homeland Security Committee) 4) H.R. 3413 ( - DHS Acquisition Reform Act of 2019 (Sponsored by Rep. Dan Crenshaw / Homeland Security Committee) 5) H.R. 504 ( - DHS Field Engagement Accountability Act, as amended (Sponsored by Rep. Don Bacon / Homeland Security Committee) 6) H.R. 2932 ( - Homeland Security for Children Act, as amended (Sponsored by Rep. Donald Payne / Homeland Security Committee) 7) H.R. 4737 ( - Department of Homeland Security Climate Change Research Act, as amended (Sponsored by Rep. Yvette Clarke / Homeland Security Committee) 8) H.R. 4432 ( - Protecting Critical Infrastructure Against Drones and Emerging Threats Act (Sponsored by Rep. Cedric Richmond / Homeland Security Committee) 9) H.R. 4753 ( - Drone Origin Security Enhancement Act (Sponsored by Rep. Dan Crenshaw / Homeland Security Committee) Special Order Speeches Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.5813E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174492,2020-02-10,KEVIN MCCARTHY,R,R
The Leader's Weekly Schedule - Week of 2/10/20,"Kevin McCarthy - Republican Leader Leader's Weekly Schedule WEEK OF FEBRUARY 10TH MONDAY, FEBRUARY 10TH On Monday, the House will meet at 12:00 p.m. for morning hour and 2:00 p.m. for legislative business. Votes will be postponed until 6:30 p.m. Legislation Considered Under Suspension of the Rules: 1) H.R. 1494 ( - Historically Black Colleges and Universities (HBCUs) Homeland Security Partnerships Act, as amended (Sponsored by Rep. Bennie Thompson / Homeland Security Committee) 2) S. 2107 ( - Protecting America's Food and Agriculture Act of 2019 (Sponsored by Sen. Gary Peters / Homeland Security Committee) 3) H.R. 5273 ( - Securing America's Ports Act (Sponsored by Rep. Xochitl Torres Small / Homeland Security Committee) 4) H.R. 3413 ( - DHS Acquisition Reform Act of 2019 (Sponsored by Rep. Dan Crenshaw / Homeland Security Committee) 5) H.R. 504 ( - DHS Field Engagement Accountability Act, as amended (Sponsored by Rep. Don Bacon / Homeland Security Committee) 6) H.R. 2932 ( - Homeland Security for Children Act, as amended (Sponsored by Rep. Donald Payne / Homeland Security Committee) 7) H.R. 4737 ( - Department of Homeland Security Climate Change Research Act, as amended (Sponsored by Rep. Yvette Clarke / Homeland Security Committee) 8) H.R. 4432 ( - Protecting Critical Infrastructure Against Drones and Emerging Threats Act (Sponsored by Rep. Cedric Richmond / Homeland Security Committee) 9) H.R. 4753 ( - Drone Origin Security Enhancement Act (Sponsored by Rep. Dan Crenshaw / Homeland Security Committee) TUESDAY, FEBRUARY 11TH AND THE BALANCE OF THE WEEK On Tuesday and Wednesday, the House will meet at 10:00 a.m. for morning hour and 12:00 p.m. for legislative business. On Thursday, the House will meet at 9:00 a.m. for legislative business. Last votes expected no later than 3:00 p.m. On Friday, no votes are expected in the House. Legislation Considered Under Suspension of the Rules: 1) H.R. 1980 ( - Smithsonian Women's History Museum Act (Sponsored by Rep. Carolyn Maloney / House Administration Committee) H.R. 2546 ( - Protecting America's Wilderness Act of 2019 (Subject to a Rule) (Sponsored by Rep. Diana DeGette / Natural Resources Committee) . 79 ( - Removing the deadline for the ratification of the equal rights amendment (Subject to a Rule) (Sponsored by Rep. Jackie Speier / Judiciary Committee) Committee activity for the week of February 10 can be found here ( . Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.58112E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174559,2020-02-08,KEVIN MCCARTHY,R,R
Acquitted for life.," View this email in your browser ( / Acquitted for life ( . Now Nancy Pelosi's impeachment sham is finally over ( - after months of wasted taxpayer time and money. The American people could see clearly that this was a political hit job. It was never based on any facts. From the moment President Trump took office, Democrats made it their mission, at all costs, to remove him from office. Why? Because they are too afraid to face him in the next election. But all along, House Republicans were united ( . We had the President's back. Now, we're going to keep making America great, in spite of the do-nothing Democrats. / P.S. What Pelosi did was petty ( . She had no right to destroy the official copy of the President's State of the Union Address. So I delivered a new copy ( - signed by President Trump ( - to the House Clerk's office to be preserved for posterity. ============================================================ ** Facebook ( ** Instagram ( ** Twitter ( ** YouTube ( ** Website ( ** Sign up for email updates ( Copyright © 2020 House of Representatives, All rights reserved. Leader Kevin McCarthy Our mailing address is: House of Representatives United States Capitol Washington, DC 20515-0001 USA Want to change how you receive these emails? You can ** update your preferences ( or **   from this list ( . Email Marketing Powered by Mailchimp ",1.5811E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174631,2020-02-07,KEVIN MCCARTHY,R,R
The Leader's Daily Schedule - 2/7/20,"Kevin McCarthy - Republican Leader Leader's Daily Schedule FRIDAY, FEBRUARY 7TH On Friday, the House will meet at 9:00 a.m. for legislative business. First and last votes expected: 11:00 a.m. - 12:00 p.m. One Minute Speeches H.R. 5687 ( - Emergency Supplemental Appropriations for Disaster Relief and Puerto Rico Disaster Tax Relief Act, 2020 (Structured Rule) (Sponsored by Rep. Nita Lowey / Appropriations Committee) The Rule provides for one hour of general debate and makes in order the following amendments: Reps. Shalala / Gonzalez-Colon / Hastings / McGovern / Murphy (FL) Amendment (10 minutes of debate) Reps. Gonzalez-Colon / DeLauro / Soto / Velazquez / Serrano Amendment (10 minutes of debate) Rep. Stacey Plaskett (10 minutes of debate) Reps. Crenshaw / Fletcher Amendment (10 minutes of debate) Reps. Tlaib / Velazquez / Ocasio-Cortez Amendment (10 minutes of debate) Rep. Andy Levin Amendment (10 minutes of debate) Special Order Speeches Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.58105E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174645,2020-02-07,KEVIN MCCARTHY,R,R
The Leader's Daily Schedule - 2/6/20,"Kevin McCarthy - Republican Leader Leader's Daily Schedule THURSDAY, FEBRUARY 6TH On Thursday, the House will meet at 10:00 a.m. for morning hour and 12:00 p.m. for legislative business. First votes expected: 1:15 p.m. - 2:15 p.m. Last votes expected: 6:30 p.m. - 7:30 p.m. One Minute Speeches . 832 ( - Disapproving of Speaker Pelosi's actions during the State of the Union Address (Sponsored by Rep. Kay Granger) . 826 ( - Expressing disapproval of the Trump administration's harmful actions towards Medicaid (Closed Rule, One Hour of Debate) (Sponsored by Rep. Marc Veasey / Energy and Commerce Committee) H.R. 2474 ( - Protecting the Right to Organize Act of 2019 (Structured Rule) (Sponsored by Rep. Bobby Scott / Education and Labor Committee) The Rule provides for one hour of general debate and makes in order the following amendments: Rep. Joe Morelle Amendment (10 minutes of debate) Rep. Virginia Foxx Amendment (10 minutes of debate) Rep. Donald Norcross Amendment (10 minutes of debate) Rep. Phil Roe Amendment (10 minutes of debate) Rep. Susan Wild Amendment (10 minutes of debate) Rep. Rick Allen Amendment (10 minutes of debate) Rep. Jahana Hayes Amendment (10 minutes of debate) Rep. Fred Keller Amendment (10 minutes of debate) Rep. Haley Stevens Amendment (10 minutes of debate) Reps. Meadows / Norman / Budd / Wright / Lamborn Amendment (10 minutes of debate) Rep. Sheila Jackson Lee Amendment (10 minutes of debate) Rep. Francis Rooney Amendment (10 minutes of debate) Rep. Juan Vargas Amendment (10 minutes of debate) Rep. Rashida Tlaib Amendment (10 minutes of debate) Rep. Brenda Lawrence Amendment (10 minutes of debate) Rep. Harley Rouda Amendment (10 minutes of debate) Special Order Speeches Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.58095E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174670,2020-02-06,KEVIN MCCARTHY,R,R
The Leader's Daily Schedule - 2/5/20,"Kevin McCarthy - Republican Leader Leader's Daily Schedule WEDNESDAY, FEBRUARY 5TH On Wednesday, the House will meet at 10:00 a.m. for morning hour and 12:00 p.m. for legislative business. First and last votes expected: 4:30 p.m. - 5:30 p.m. One Minute Speeches Legislation Considered Under Suspension of the Rules: 1) H.R. 4305 ( - PAWS for Veterans Therapy Act, as amended (Sponsored by Rep. Steve Stivers / Veterans' Affairs Committee) 2) H.R. 4044 ( - Protect and Restore America's Estuaries Act, as amended (Sponsored by Rep. Tom Malinowski / Transportation and Infrastructure Committee) 3) H.R. 1132 ( - San Francisco Bay Restoration Program, as amended (Sponsored by Rep. Jackie Speier / Transportation and Infrastructure Committee) 4) H.R. 2247 ( - PUGET SOS Act, as amended (Sponsored by Rep. Denny Heck / Transportation and Infrastructure Committee) 5) H.R. 1620 ( - Chesapeake Bay Program Reauthorization Act, as amended (Sponsored by Rep. Elaine Luria / Transportation and Infrastructure Committee) 6) H.R. 4031 ( - Great Lakes Restoration Initiative Act of 2019 (Sponsored by Rep. Dave Joyce / Transportation and Infrastructure Committee) 7) H.R. 4275 ( - To amend the Federal Water Pollution Control Act to reauthorize the Lake Pontchartrain Basin Restoration Program, and for other purposes, as amended (Sponsored by Rep. Garret Graves / Transportation and Infrastructure Committee) 8) H.R. 5214 ( - Representative Payee Fraud Protection Act of 2019 (Sponsored by Rep. Rashida Tlaib / Oversight and Reform Committee) 9) H.R. 3830 ( - Taxpayer Right-to-Know Act, as amended (Sponsored by Rep. Tim Walberg / Oversight and Reform Committee) 10) H.R. 3941 ( - FedRAMP Authorization Act, as amended (Sponsored by Rep. Gerry Connolly / Oversight and Reform Committee) 11) H.R. 2382 ( - USPS Fairness Act (Sponsored by Rep. Peter DeFazio / Oversight and Reform Committee) 12) S. 375 ( - Payment Information Integrity Act of 2019 (Sponsored by Sen. Tom Carper / Oversight and Reform Committee) 13) S. 394 ( - Presidential Transition Act Enhancement Act of 2019 (Sponsored by Sen. Ron Johnson / Oversight and Reform Committee) 14) H.R. 3976 ( - To designate the facility of the United States Postal Service located at 12711 East Jefferson Avenue in Detroit, Michigan, as the ""Aretha Franklin Post Office Building"" (Sponsored by Rep. Brenda Lawrence / Oversight and Reform Committee) 15) H.R. 4794 ( - To designate the facility of the United States Postal Service located at 8320 13th Avenue in Brooklyn, New York, as the ""Mother Frances Xavier Cabrini Post Office Building"" (Sponsored by Rep. Max Rose / Oversight and Reform Committee) 16) H.R. 4981 ( - To designate the facility of the United States Postal Service located at 2505 Derita Avenue in Charlotte, North Carolina, as the ""Julius L. Chambers Civil Rights Memorial Post Office"" (Sponsored by Rep. Alma Adams / Oversight and Reform Committee) 17) H.R. 5037 ( - To designate the facility of the United States Postal Service located at 3703 North Main Street in Farmville, North Carolina, as the ""Walter B. Jones, Jr. Post Office"" (Sponsored by Rep. Greg Murphy / Oversight and Reform Committee) 18) H.R. 3317 ( - To permit the Scipio A. Jones Post Office in Little Rock, Arkansas, to accept and display a portrait of Scipio A. Jones, and for other purposes (Sponsored by Rep. French Hill / Oversight and Reform Committee) 19) H.R. 4279 ( - To designate the facility of the United States Postal Service located at 445 Main Street in Laceyville, Pennsylvania, as the ""Melinda Gene Piccotti Post Office"" (Sponsored by Rep. Fred Keller / Oversight and Reform Committee) Special Order Speeches Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.58088E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174714,2020-02-05,KEVIN MCCARTHY,R,R
The Leader's Daily Schedule - 2/4/20,"Kevin McCarthy - Republican Leader Leader's Daily Schedule TUESDAY, FEBRUARY 4TH On Tuesday, the House will meet at 12:00 p.m. for morning hour and 2:00 p.m. for legislative business. No votes are expected in the House. The House will reconvene at approximately 8:35 p.m. for a Joint Session of Congress to receive the President's State of the Union Address. Members are requested to be on the Floor and seated no later than 8:25 p.m. Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.58077E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174778,2020-02-03,KEVIN MCCARTHY,R,R
The Leader's Weekly Schedule - 2/3/20,"Kevin McCarthy - Republican Leader Leader's Weekly Schedule WEEK OF FEBRUARY 3RD MONDAY, FEBRUARY 3RD On Monday, there are no votes expected in the House. TUESDAY, FEBRUARY 4TH On Tuesday, the House will meet at 12:00 p.m. for morning hour and 2:00 p.m. for legislative business. No votes are expected in the House. The House will reconvene at approximately 8:35 p.m. for a Joint Session of Congress to receive the President's State of the Union Address. Members are requested to be on the Floor and seated no later than 8:25 p.m. WEDNESDAY, FEBRUARY 5TH On Wednesday, the House will meet at 10:00 a.m. for morning hour and 12:00 p.m. for legislative business. Legislation Considered Under Suspension of the Rules: 1) H.R. 4305 ( - PAWS for Veterans Therapy Act (Sponsored by Rep. Steve Stivers / Veterans' Affairs Committee) 2) H.R. 4044 ( - Protect and Restore America's Estuaries Act, as amended (Sponsored by Rep. Tom Malinowski / Transportation and Infrastructure Committee) 3) H.R. 1132 ( - San Francisco Bay Restoration Program, as amended (Sponsored by Rep. Jackie Speier / Transportation and Infrastructure Committee) 4) H.R. 2247 ( - PUGET SOS Act, as amended (Sponsored by Rep. Denny Heck / Transportation and Infrastructure Committee) 5) H.R. 1620 ( - Chesapeake Bay Program Reauthorization Act, as amended (Sponsored by Rep. Elaine Luria / Transportation and Infrastructure Committee) 6) H.R. 4031 ( - Great Lakes Restoration Initiative Act of 2019 (Sponsored by Rep. Dave Joyce / Transportation and Infrastructure Committee) 7) H.R. 4275 ( - To amend the Federal Water Pollution Control Act to reauthorize the Lake Pontchartrain Basin Restoration Program, and for other purposes, as amended (Sponsored by Rep. Garret Graves / Transportation and Infrastructure Committee) 8) H.R. 2382 ( - USPS Fairness Act (Sponsored by Rep. Peter DeFazio / Oversight and Reform Committee) 9) H.R. 3830 ( - Taxpayer Right-to-Know Act, as amended (Sponsored by Rep. Tim Walberg / Oversight and Reform Committee) 10) H.R. 3941 ( - FedRAMP Authorization Act, as amended (Sponsored by Rep. Gerry Connolly / Oversight and Reform Committee) 11) S. 375 ( - Payment Information Integrity Act of 2019 (Sponsored by Sen. Tom Carper / Oversight and Reform Committee) 12) S. 394 ( - Presidential Transition Act Enhancement Act of 2019 (Sponsored by Sen. Ron Johnson / Oversight and Reform Committee) 13) H.R. 5214 ( - Representative Payee Fraud Protection Act of 2019 (Sponsored by Rep. Rashida Tlaib / Oversight and Reform Committee) 14) H.R. 3976 ( - To designate the facility of the United States Postal Service located at 12711 East Jefferson Avenue in Detroit, Michigan, as the ""Aretha Franklin Post Office Building"" (Sponsored by Rep. Brenda Lawrence / Oversight and Reform Committee) 15) H.R. 4794 ( - To designate the facility of the United States Postal Service located at 8320 13th Avenue in Brooklyn, New York, as the ""Mother Frances Xavier Cabrini Post Office Building"" (Sponsored by Rep. Max Rose / Oversight and Reform Committee) 16) H.R. 4981 ( - To designate the facility of the United States Postal Service located at 2505 Derita Avenue in Charlotte, North Carolina, as the ""Julius L. Chambers Civil Rights Memorial Post Office"" (Sponsored by Rep. Alma Adams / Oversight and Reform Committee) 17) H.R. 5037 ( - To designate the facility of the United States Postal Service located at 3703 North Main Street in Farmville, North Carolina, as the ""Walter B. Jones, Jr. Post Office"" (Sponsored by Rep. Greg Murphy / Oversight and Reform Committee) 18) H.R. 3317 ( - To permit the Scipio A. Jones Post Office in Little Rock, Arkansas, to accept and display a portrait of Scipio A. Jones, and for other purposes (Sponsored by Rep. French Hill / Oversight and Reform Committee) 19) H.R. 4279 ( - To designate the facility of the United States Postal Service located at 445 Main Street in Laceyville, Pennsylvania, as the ""Melinda Gene Piccotti Post Office"" (Sponsored by Rep. Fred Keller / Oversight and Reform Committee) THURSDAY, FEBRUARY 6TH AND THE BALANCE OF THE WEEK On Thursday, the House will meet at 10:00 a.m. for morning hour and 12:00 p.m. for legislative business. On Friday, the House will meet at 9:00 a.m. for legislative business. Last votes expected no later than 3:00 p.m. H.R. 2474 ( - Protecting the Right to Organize Act of 2019 (Subject to a Rule) (Sponsored by Rep. Bobby Scott / Education and Labor Committee) H.R. 5687 ( - Emergency Supplemental Appropriations for Disaster Relief and Puerto Rico Disaster Tax Relief Act, 2020 (Subject to a Rule) (Sponsored by Rep. Nita Lowey / Appropriations Committee) Legislation Related to the Administration's Proposed Guidance on Medicaid Funding Committee activity for the week of February 3 can be found here ( . Printable PDF ( ** Republican Leader Floor Office • H-204 U.S. Capitol ------------------------------------------------------------ This email was sent to @ (mailto: @ ) why did I get this? (   from this list ( update subscription preferences ( House of Representatives . United States Capitol . Washington, DC 20515-0001 . USA",1.58052E+12,M001165,116,Kevin,McCarthy,1/26/65,M,CA,23,Republican,House,,174880,2020-02-01,KEVIN MCCARTHY,R,R
