name,id,match_attribute1,match_attribute2,match_attribute3,append_attribute1,append_attribute2,append_attribute3
DEREK KILMER,,D,WA,6,,,
MARK AMODEI,,R,NV,2,,,
KAY GRANGER,,R,TX,12,,,
DOUG COLLINS,,R,GA,9,,,
JEFF FORTENBERRY,,R,NE,1,,,
JIM COSTA,,D,CA,16,,,
MIA LOVE,,R,UT,4,,,
JEB HENSARLING,,R,TX,5,,,
MIKE QUIGLEY,,D,IL,5,,,
MARSHA BLACKBURN,,R,TN,7,,,
GARY PALMER,,R,AL,6,,,
ROGER WILLIAMS,,R,TX,25,,,
LUKE MESSER,,R,IN,6,,,
TOM MACARTHUR,,R,NJ,3,,,
ANN KUSTER,,D,NH,2,,,
HAROLD ROGERS,,R,KY,5,,,
RAÚL LABRADOR,,R,ID,1,,,
DAVID LOEBSACK,,D,IA,2,,,
COLLIN PETERSON,,D,MN,7,,,
BARBARA COMSTOCK,,R,VA,10,,,
DENNY HECK,,D,WA,10,,,
JOE COURTNEY,,D,CT,2,,,
ELISE STEFANIK,,R,NY,21,,,
GWEN MOORE,,D,WI,4,,,
RODNEY FRELINGHUYSEN,,R,NJ,11,,,
SEAN MALONEY,,D,NY,18,,,
EMANUEL CLEAVER,,D,MO,5,,,
KEN BUCK,,R,CO,4,,,
JOE WILSON,,R,SC,2,,,
MICHAEL DOYLE,,D,PA,14,,,
BRAD SHERMAN,,D,CA,30,,,
DORIS MATSUI,,D,CA,6,,,
TONY CÁRDENAS,,D,CA,29,,,
BRAD WENSTRUP,,R,OH,2,,,
BRADLEY BYRNE,,R,AL,1,,,
KATHERINE CLARK,,D,MA,5,,,
TOM MCCLINTOCK,,R,CA,4,,,
CHERI BUSTOS,,D,IL,17,,,
STEVE COHEN,,D,TN,9,,,
ADAM SMITH,,D,WA,9,,,
FRANK LOBIONDO,,R,NJ,2,,,
JARED HUFFMAN,,D,CA,2,,,
TED POE,,R,TX,2,,,
DEVIN NUNES,,R,CA,22,,,
NIKI TSONGAS,,D,MA,3,,,
BILL HUIZENGA,,R,MI,2,,,
NITA LOWEY,,D,NY,17,,,
EVAN JENKINS,,R,WV,3,,,
ADRIAN SMITH,,R,NE,3,,,
MAC THORNBERRY,,R,TX,13,,,
ELIZABETH ESTY,,D,CT,5,,,
ROBERT LATTA,,R,OH,5,,,
PAUL COOK,,R,CA,8,,,
DONALD NORCROSS,,D,NJ,1,,,
ED PERLMUTTER,,D,CO,7,,,
PATRICK MURPHY,,D,FL,18,,,
TIMOTHY WALZ,,D,MN,1,,,
TAMMY DUCKWORTH,,D,IL,8,,,
DONALD PAYNE,,D,NJ,10,,,
JUAN VARGAS,,D,CA,51,,,
STEVE KNIGHT,,R,CA,25,,,
JODY HICE,,R,GA,10,,,
JOHN RATCLIFFE,,R,TX,4,,,
JEFF DUNCAN,,R,SC,3,,,
RON DESANTIS,,R,FL,6,,,
LINDA SÁNCHEZ,,D,CA,38,,,
ERIC SWALWELL,,D,CA,15,,,
PETE OLSON,,R,TX,22,,,
AMI BERA,,D,CA,7,,,
ROB WOODALL,,R,GA,7,,,
JIM COOPER,,D,TN,5,,,
CATHY RODGERS,,R,WA,5,,,
PAUL GOSAR,,R,AZ,4,,,
SCOTT TIPTON,,R,CO,3,,,
JOHN SHIMKUS,,R,IL,15,,,
JOAQUIN CASTRO,,D,TX,20,,,
RICHARD HANNA,,R,NY,22,,,
RICK ALLEN,,R,GA,12,,,
JAIME HERRERA BEUTLER,,R,WA,3,,,
TIM WALBERG,,R,MI,7,,,
MIKE COFFMAN,,R,CO,6,,,
HENRY JOHNSON,,D,GA,4,,,
EDWARD ROYCE,,R,CA,39,,,
SETH MOULTON,,D,MA,6,,,
TOM EMMER,,R,MN,6,,,
ALEXANDER MOONEY,,R,WV,2,,,
LOIS CAPPS,,D,CA,24,,,
TOM REED,,R,NY,23,,,
BRENDA LAWRENCE,,D,MI,14,,,
KATHY CASTOR,,D,FL,14,,,
XAVIER BECERRA,,D,CA,34,,,
DONALD BEYER,,D,VA,8,,,
KEITH ROTHFUS,,R,PA,12,,,
DAVID BRAT,,R,VA,7,,,
ROD BLUM,,R,IA,1,,,
KYRSTEN SINEMA,,D,AZ,9,,,
JASON CHAFFETZ,,R,UT,3,,,
CHRISTOPHER SMITH,,R,NJ,4,,,
JOHN LEWIS,,D,GA,5,,,
BRIAN HIGGINS,,D,NY,26,,,
JAMES HIMES,,D,CT,4,,,
BARRY LOUDERMILK,,R,GA,11,,,
GREG WALDEN,,R,OR,2,,,
ALAN LOWENTHAL,,D,CA,47,,,
CAROLYN MALONEY,,D,NY,12,,,
PAUL TONKO,,D,NY,20,,,
RANDY NEUGEBAUER,,R,TX,19,,,
STEVE ISRAEL,,D,NY,3,,,
BETTY MCCOLLUM,,D,MN,4,,,
MIMI WALTERS,,R,CA,45,,,
JOHN CULBERSON,,R,TX,7,,,
MARK POCAN,,D,WI,2,,,
JERROLD NADLER,,D,NY,10,,,
TREY GOWDY,,R,SC,4,,,
TODD ROKITA,,R,IN,4,,,
ANDY HARRIS,,R,MD,1,,,
PETE AGUILAR,,D,CA,31,,,
DIANA DEGETTE,,D,CO,1,,,
STEVE SCALISE,,R,LA,1,,,
BETO O’ROURKE,,D,TX,16,,,
BRUCE WESTERMAN,,R,AR,4,,,
MICHAEL CAPUANO,,D,MA,7,,,
VIRGINIA FOXX,,R,NC,5,,,
JAMES RENACCI,,R,OH,16,,,
TOM GRAVES,,R,GA,14,,,
LEONARD LANCE,,R,NJ,7,,,
RANDY WEBER,,R,TX,14,,,
THOMAS MASSIE,,R,KY,4,,,
CHRISTOPHER GIBSON,,R,NY,19,,,
TED LIEU,,D,CA,33,,,
BILL PASCRELL,,D,NJ,9,,,
MIKE THOMPSON,,D,CA,5,,,
SANDER LEVIN,,D,MI,9,,,
DAN NEWHOUSE,,R,WA,4,,,
DEBBIE DINGELL,,D,MI,12,,,
RON KIND,,D,WI,3,,,
MICHELLE LUJAN GRISHAM,,D,NM,1,,,
PAUL RYAN,,R,WI,1,,,
CHRIS VAN HOLLEN,,D,MD,8,,,
BARBARA LEE,,D,CA,13,,,
MARTHA MCSALLY,,R,AZ,2,,,
MICHAEL SIMPSON,,R,ID,2,,,
SAM GRAVES,,R,MO,6,,,
BOB GIBBS,,R,OH,7,,,
LARRY BUCSHON,,R,IN,8,,,
GARLAND BARR,,R,KY,6,,,
TED YOHO,,R,FL,3,,,
ERIC CRAWFORD,,R,AR,1,,,
KURT SCHRADER,,D,OR,5,,,
JOHN GARAMENDI,,D,CA,3,,,
CHRIS STEWART,,R,UT,2,,,
JAMES LANGEVIN,,D,RI,2,,,
MIKE ROGERS,,R,AL,3,,,
SUZANNE BONAMICI,,D,OR,1,,,
FRANK LUCAS,,R,OK,3,,,
ELIOT ENGEL,,D,NY,16,,,
ALCEE HASTINGS,,D,FL,20,,,
JUDY CHU,,D,CA,27,,,
TERRI SEWELL,,D,AL,7,,,
TULSI GABBARD,,D,HI,2,,,
JOHN LARSON,,D,CT,1,,,
GERALD CONNOLLY,,D,VA,11,,,
SANFORD BISHOP,,D,GA,2,,,
AL GREEN,,D,TX,9,,,
CHARLES FLEISCHMANN,,R,TN,3,,,
MIKE BISHOP,,R,MI,8,,,
BOB DOLD,,R,IL,10,,,
CHARLES RANGEL,,D,NY,13,,,
SCOTT PETERS,,D,CA,52,,,
ROBERT PITTENGER,,R,NC,9,,,
BILL FOSTER,,D,IL,11,,,
ROBERT HURT,,R,VA,5,,,
RAUL RUIZ,,D,CA,36,,,
SAM FARR,,D,CA,20,,,
RICK LARSEN,,D,WA,2,,,
THOMAS ROONEY,,R,FL,17,,,
BILL FLORES,,R,TX,17,,,
JOHN DELANEY,,D,MD,6,,,
STEVE STIVERS,,R,OH,15,,,
LLOYD DOGGETT,,D,TX,35,,,
CHARLES BOUSTANY,,R,LA,3,,,
BRAD ASHFORD,,D,NE,2,,,
BILL JOHNSON,,R,OH,6,,,
SCOTT GARRETT,,R,NJ,5,,,
DOUG LAMALFA,,R,CA,1,,,
LYNN WESTMORELAND,,R,GA,3,,,
JOHN MICA,,R,FL,7,,,
FRANK GUINTA,,R,NH,1,,,
MICHAEL HONDA,,D,CA,17,,,
DENNIS ROSS,,R,FL,15,,,
CRESENT HARDY,,R,NV,4,,,
JOHN MOOLENAAR,,R,MI,4,,,
DAVID JOLLY,,R,FL,13,,,
GWEN GRAHAM,,D,FL,2,,,
STENY HOYER,,D,MD,5,,,
RICHARD NUGENT,,R,FL,11,,,
KEVIN BRADY,,R,TX,8,,,
GRACE NAPOLITANO,,D,CA,32,,,
DAVID VALADAO,,R,CA,21,,,
JOSEPH HECK,,R,NV,3,,,
SUSAN BROOKS,,R,IN,5,,,
DAVID SCOTT,,D,GA,13,,,
RENEE ELLMERS,,R,NC,2,,,
CANDICE MILLER,,R,MI,10,,,
JUSTIN AMASH,,R,MI,3,,,
CHELLIE PINGREE,,D,ME,1,,,
SUSAN DAVIS,,D,CA,53,,,
RUBEN GALLEGO,,D,AZ,7,,,
STEVAN PEARCE,,R,NM,2,,,
MIKE BOST,,R,IL,12,,,
KEITH ELLISON,,D,MN,5,,,
ZOE LOFGREN,,D,CA,19,,,
JIM BRIDENSTINE,,R,OK,1,,,
THEODORE DEUTCH,,D,FL,21,,,
GARRET GRAVES,,R,LA,6,,,
EARL BLUMENAUER,,D,OR,3,,,
JOSÉ SERRANO,,D,NY,15,,,
ANDER CRENSHAW,,R,FL,4,,,
DAN BENISHEK,,R,MI,1,,,
MARK DESAULNIER,,D,CA,11,,,
LORETTA SANCHEZ,,D,CA,46,,,
JOHN KLINE,,R,MN,2,,,
TODD YOUNG,,R,IN,9,,,
DEBBIE WASSERMAN SCHULTZ,,D,FL,23,,,
MARIO DIAZ-BALART,,R,FL,25,,,
CURTIS CLAWSON,,R,FL,19,,,
JOHN SARBANES,,D,MD,3,,,
C. RUPPERSBERGER,,D,MD,2,,,
TRENT FRANKS,,R,AZ,8,,,
LAMAR SMITH,,R,TX,21,,,
CHRIS COLLINS,,R,NY,27,,,
MARLIN STUTZMAN,,R,IN,3,,,
JOSEPH KENNEDY,,D,MA,4,,,
RAÚL GRIJALVA,,D,AZ,3,,,
JOHN KATKO,,R,NY,24,,,
CEDRIC RICHMOND,,D,LA,2,,,
DINA TITUS,,D,NV,1,,,
KATHLEEN RICE,,D,NY,4,,,
GEORGE BUTTERFIELD,,D,NC,1,,,
J. FORBES,,R,VA,4,,,
MARCY KAPTUR,,D,OH,9,,,
HAKEEM JEFFRIES,,D,NY,8,,,
JOE BARTON,,R,TX,6,,,
BOBBY RUSH,,D,IL,1,,,
GLENN THOMPSON,,R,PA,5,,,
JOSEPH PITTS,,R,PA,16,,,
NYDIA VELÁZQUEZ,,D,NY,7,,,
PATRICK MEEHAN,,R,PA,7,,,
JEFF MILLER,,R,FL,1,,,
ED WHITFIELD,,R,KY,1,,,
STEVE KING,,R,IA,4,,,
MARK TAKANO,,D,CA,41,,,
BRETT GUTHRIE,,R,KY,2,,,
LOUISE SLAUGHTER,,D,NY,25,,,
BRUCE POLIQUIN,,R,ME,2,,,
MATT SALMON,,R,AZ,5,,,
DANIEL KILDEE,,D,MI,5,,,
MATTHEW CARTWRIGHT,,D,PA,17,,,
MARK TAKAI,,D,HI,1,,,
EDWARD RIGELL,,R,VA,2,,,
KAREN BASS,,D,CA,37,,,
GREGORY MEEKS,,D,NY,5,,,
JOHN CONYERS,,D,MI,13,,,
DONNA EDWARDS,,D,MD,4,,,
CHAKA FATTAH,,D,PA,2,,,
STEVE CHABOT,,R,OH,1,,,
CHARLES DENT,,R,PA,15,,,
BEN LUJÁN,,D,NM,3,,,
ROSA DELAURO,,D,CT,3,,,
JOSEPH CROWLEY,,D,NY,14,,,
TIM RYAN,,D,OH,13,,,
ROBIN KELLY,,D,IL,2,,,
PETER VISCLOSKY,,D,IN,1,,,
PETER ROSKAM,,R,IL,6,,,
KEN CALVERT,,R,CA,42,,,
LUCILLE ROYBAL-ALLARD,,D,CA,40,,,
GENE GREEN,,D,TX,29,,,
TOM COLE,,R,OK,4,,,
ALBIO SIRES,,D,NJ,8,,,
ROBERT ADERHOLT,,R,AL,4,,,
SAM JOHNSON,,R,TX,3,,,
BILL SHUSTER,,R,PA,9,,,
JERRY MCNERNEY,,D,CA,9,,,
MICK MULVANEY,,R,SC,5,,,
BONNIE WATSON COLEMAN,,D,NJ,12,,,
ALAN GRAYSON,,D,FL,9,,,
GEORGE HOLDING,,R,NC,13,,,
JIM MCDERMOTT,,D,WA,7,,,
ROBERT SCOTT,,D,VA,3,,,
JOHN DUNCAN,,R,TN,2,,,
SHEILA JACKSON LEE,,D,TX,18,,,
JOHN CARTER,,R,TX,31,,,
LOIS FRANKEL,,D,FL,22,,,
JOHN BOEHNER,,R,OH,8,,,
NORMA TORRES,,D,CA,35,,,
RUBÉN HINOJOSA,,D,TX,15,,,
TRENT KELLY,,R,MS,1,,,
ADAM KINZINGER,,R,IL,16,,,
JOHN YARMUTH,,D,KY,3,,,
RALPH ABRAHAM,,R,LA,5,,,
STEPHEN FINCHER,,R,TN,8,,,
F. SENSENBRENNER,,R,WI,5,,,
CARLOS CURBELO,,R,FL,26,,,
STEPHEN LYNCH,,D,MA,8,,,
FREDERICA WILSON,,D,FL,24,,,
SCOTT DESJARLAIS,,R,TN,4,,,
JAMES MCGOVERN,,D,MA,2,,,
JANICE HAHN,,D,CA,44,,,
MO BROOKS,,R,AL,5,,,
