,Subject,Body,Unix Timestamp,BioGuide ID,Congress,First Name,Last Name,Date of Birth,Gender,State,District,Party,Chamber,Nickname,ID,datetime,election integrity_score,voter fraud_score,voter id_score,election reform_score,voter verification_score,ballot security_score,election security_score,mail-in voting concerns_score,voter suppression_score,election audits_score,American elections_score,proof of citizenship_score,election interference_score,foreign interference_score,paper ballots_score,voting machines_score,cybersecurity_score
19,Reminder: Weekly Update: Upholding Election Integrity in Illinois," Weekly Update | March 1, 2020 Upholding Election Integrity in Illinois On Monday, I gathered officials from the Illinois Secretary of State's office and the Illinois State Board of Elections (ISBE) to discuss some of the errors with Illinois' Automatic Voter Registration (AVR) program, which was implemented in 2018. Recently it was revealed that 574 individuals who checked ""non-citizen"" were registered to vote, 4,700 sixteen year-olds were mistakingly forwarded by the Secretary of State to the ISBE for registration, and 774 people were incorrectly labeled as incarcerated and could be subject to voter registration cancellations. I appreciated State Reps. Avery Bourne, Tim Butler, and Mike Murphy for joining me and also County Clerks from McLean, Sangamon, and Christian counties for attending as well. As the lead Republican on the Committee on House Administration, which has oversight of federal elections, this listening session revealed that more communication is needed with local officials and increased oversight of the election registration process is needed. Three main issues that I believe need to be addressed: Illinois Secretary of State did not seek any independent testing before implementing the Automatic Voter Registration program in the 2018 midterm election. The Secretary of State's Office has no verification for citizenship status during the voter registration process. My bill, Protect American Voters Act (PAVA) needs to be passed to secure non-voting election systems, like online voter registration databases or e-poll books used in Illinois. Illinois State Board of Elections Executive Director Steve Sandvoss expressed that there are remaining security concerns for their non-voting systems following the alleged foreign interference from the 2016 presidential election. Read more about the listening session here The State Journal-Register's coverage can be found here The Center Square's article is here Davis convenes a Listening Session on Illinois' Automatic Voter Registration issues in Springfield, IL on February 24, 2020. He is joined by IL State Rep. Avery Bourne, IL State Rep. Tim Butler, and IL State Rep. Mike Murphy. Steve Sandvoss (IL State Board of Elections), Nathan Maddox (IL Secretary of State), and Don Gray (Sangamon County Clerk) answer questions from Davis and state legislators at the listening session. Like My Facebook Page More 13th District Updates Honoring Teresa Haley of Springfield Congratulations Teresa! Teresa Haley, who serves as the president of the Springfield NAACP, won the Activist of the Year Award at the NAACP Image Awards last week. I've had the pleasure of working with Teresa to bring national recognition to the 1908 Race Riot Site. A great way to celebrate Black History Month. We're so proud! Watch my remarks here Supporting Public Broadcasting ‪ It was great meeting with Moss Bresnahan from Champaign-Urbana's WILL. I'm proud to have consistently supported funding for public broadcasting in Congress. We need more coverage of local issues and public media plays an important role.‬ Read a Related Story in the SJ-R Standing up for Social Security Fairness The Social Security Fairness Act will prevent an unfair reduction in Social Security for teachers, police officers, and other public servants across the country. I was proud to meet with some of these public servants today and receive the Champion for Social Security Justice Award .‬ We only need 49 more cosponsors on HR 141 to guarantee a vote on the House floor. Taxpayer Dollars Coming Back to Illinois Davis Announces Senior Corps Grants for Dove, Inc. Davis, LaHood Announce Senior Corps Grant for McLean County YWCA Davis Announces USDA Gr ant to Purchase Snow Plow Truck for Schram City Davis Announces USDA Grant to Purchase Gas Delivery Truck for Roodhouse Constituent Service Spotlight Helping Constituents Cut Through Red Tape ""In May 2019, I came to your office seeking help about a bureaucratic issue. You interceded and the issue was cleared up. We then were turned away from an interview and I was happy to see that you had great follow up skills and had asked how it went. Further, you got some questions answered and spent time reviewing some USCIS letter with me. I want to thank you, Ms. Yoakum, profusely."" ﻿- Eric Congressman Rodney Davis | 1740 Longworth HOB , Washington, DC 20515   @ Update Profile | About Constant Contact Sent by noreply@ ",1583320000000.0,D000619,116,Rodney,Davis,1/5/70,M,IL,13.0,Republican,House,,173536,2020-03-04 11:06:40,,,,,0.55486196,,,,,,,,,,,,
20,Americans shouldn't have to choose between the right to vote and protecting their health,"Ron Wyden - U.S. Senator for Oregon Dear |*First Name*|, No voter should have to choose between exercising their right to vote and protecting their health and that of their loved ones against a global pandemic.? Right now, the best option to safeguard American voters - and our elections - against coronavirus (COVID-19) is to mandate emergency vote-by-mail in every state through November. This week, Senator Amy Klobuchar and Iintroduced a bill to do just that .? In-person elections are only going to become more and more difficult to run during this public health crisis while self-isolation and quarantines are in place. The vote-by-mail system pioneered by Oregon is the best path forward to keep our democracy running and the public healthy. States like Louisiana, Georgia and Ohio have already announced they will postpone upcoming primary elections. While primary dates can shift, the general election this November is fixed, and it?s imperative we take action NOW to keep Americans healthy and preserve our democracy.? In fact, Donald Trump himself is taking advantage of vote-by-mail . If vote-by-mail is good enough for Donald Trump, it should be good enough for Mitch McConnell. I hope he and Senate Republicans will commit to passing and signing our bill into law quickly in order to address the very real threat looming over this election.? My top priority is keeping Oregonians and their loved ones safe. The best way you can help is by staying informed with the most up-to-date, fact-based information. Pleaserefer to the Centers for Disease Control and Prevention (CDC) website for the updates on COVID-19.? In the meantime, I?ll be doing everything I can to protect your health and constitutional right to vote. Sincerely, Please do not reply to this e-mail. If you would like to send a message to Senator Wyden,click here . If you would like to   from Senator Wyden's newsletter please click here and fill out the   form. ",1.58454E+12,W000779,116,Ron,Wyden,5/3/49,M,OR,,Democrat,Senate,,172678,2020-03-18 14:00:00,,,,,,,,0.5836902,,,,,,,,,
21,"Nationwide vote-by-mail is not just a good idea, it's necessary"," Nationwide vote-by-mail is not just a good idea, it's necessary Congressman Earl Blumenauer Update | Wednesday, April 8, 2020 Click here if you have trouble viewing this email While the nation navigates a public health and economic crisis, many aspects of our daily lives have been put on hold. As we confront the challenges of stay-at-home guidelines and are forced to postpone family gatherings, birthdays, and sporting events, there are other parts of society that must continue. Chief among these is our democracy, which the United States cannot afford to put on hold. We need vote-by-mail nationwide. It's no longer just a good idea, it's a necessity. I've been fighting for years in Congress to bring the Oregon model of vote-by-mail nationwide. Oregon has seen vote-by-mail improve voter turnout and election security-it's a no brainer. Now, more than ever, the rest of America needs to follow suit. 58% of poll workers during the 2018 election cycle were over the age of 60, the primary at risk community for COVID-19. With a crucial election season approaching, we should not be putting individuals that are highly susceptible to contracting COVID-19 in danger by forcing them to vote in person. I introduced legislation in the House weeks ago to require states to implement plans to safely conduct their elections amidst this pandemic, and to federally fund nationwide vote-by-mail. This language must be included in the next relief package. I'm fighting to ensure our elections are not only safe, but safe to participate in. Over the past few weeks, several states have delayed presidential primary election voting, and as recently as yesterday, the Supreme Court shamefully shot down Wisconsin's attempt to allow for expanded absentee voting. In clear defiance of public health guidance, Wisconsin is now forced to vote in the middle of a pandemic, putting citizens and the election at risk. Trump has publicly criticized our efforts to expand voter access during this crisis. Any opposition to prioritizing public health while expanding voter access is shameful . We need to act responsibly and allow for absentee voting to keep our communities safe. Nothing should be overlooked during national emergencies, including the integrity of our democracy. I will continue to fight for the Oregon way nationwide, especially in these troubling times. Our democracy depends on it. Courage, Earl Blumenauer Member of Congress If you are interested in contacting me about this issue, please click here . Also, you can sign up for my email updates here . Office Locations Washington, DC Office 1111 Longworth House Office Building Washington, DC 20515 Phone: (202) 225-4811 Fax: (202) 225-8941 Portland Office 911 N.E. 11th Ave Suite 200 Portland, OR 97232 Phone: (503) 231-2300 Fax: (503) 230-5413 UPDATE SUBSCRIPTION OPTIONS | PRIVACY POLICY | CONTACT US Click Here to view this email in your browser Click Here to be removed from this list ",1.58635E+12,B000574,116,Earl,Blumenauer,8/16/48,M,OR,3,Democrat,House,,170860,2020-04-08 12:46:40,,,,,,,,0.6700259,,,,,,,,,
22,Should we have an option to vote by mail?," News from Representative Allred May 22, 2020 Dear Friend, As a voting rights attorney, I have fought to expand access to the ballot box, safeguard our elections and protect our democracy for generations to come. The coronavirus pandemic has presented significant logistical barriers and health risks related to casting a ballot in person. As your Representative, listening to you helps me reflect North Texas values in Washington. Please take a moment to let me know how you feel about voting access. Should every eligible Texas voter have an option to vote by mail? *By participating in the survey you will join Rep. Allred's email list As we continue to fight COVID-19 and approach election season, it's critical we make sure that citizens can vote safely. I recently voted to pass the Heroes Act which includes federal funds for election assistance. No one should fear contracting COVID-19 at a polling place. During a global pandemic, it is critical that every Texan can safely exercise their constitutional right to vote. I urge state officials to ensure a safe and accessible election by extending a vote by mail option. I will continue to advocate for the rights of all North Texans. I appreciate your input; please share your thoughts with me through the survey. Sincerely, Colin Allred Member of Congress Washington, DC Office 328 Cannon HOB Washington, DC 20515 (202) 225-2231 Richardson Office 100 N. Central Suite 602 Richardson, TX 75080 (972) 972-7949   | Privacy Open in browser window Open plain text version ",1.59015E+12,A000376,116,Colin,Allred,4/15/83,M,TX,32,Democrat,House,,167780,2020-05-22 12:20:00,,,,,,,,0.59975016,,,,,,,,,
23,Weekly COVID-19 Response Update from Congresswoman Chellie Pingree," Message from Congresswoman Chellie Pingree Home About Services Media 1st District Legislation Contact Dear Friend, This week, I watched in horror as photos and videos depicted lengthy lines at polling stations in Georgia. There is no way around it: this is rampant voter suppression. Voter suppression is an injustice most often inflicted on Black and brown communities and has been long employed to silence their voices. There is a history to this. In 2020, we celebrate a century since the 19th Amendment's ratification, but Black women were not fully enfranchised in every state until 1965, and Native American women in 1962. The Supreme Court gutted the Voting Rights Act in 2013. States have passed strict identification rules, purged voters from their rolls, and gerrymandered districts that determine the weight of your vote. Right now, our nation is reckoning with the systemic racism that has perpetuated inequalities and violence against people of color in this country. Voter suppression is another inequity that most often harms people of color. Congress must fight for everyone who has difficulty accessing the ballot box. And we must use the privilege we have to recognize disparities and uplift the voices of communities of color across the country. I've supported several initiatives that would help protect the integrity of our elections, especially during the coronavirus pandemic: H.R. 4 , which would restore the landmark Voting Rights Act of 1965, and The Heroes Act to provide $29 million in election aid for every Maine voter to vote-by-mail. In fact, you can request your absentee ballot for the July 14 primary through the Maine Secretary of State's office now. If any of your family or friends are interested in hearing from my office, please have them sign up for my newsletter here . My website is updated with resources and congressional actions on COVID-19, located at . You can also check out my Facebook , Instagram , and Twitter for updates. Best, Chellie Update from Maine Congratulations to the Class of 2020! I'm so proud of the Mainers who are graduating from high school, college, graduate school, or an adult education program this year. As with any milestone event or celebration during this time of uncertainty, there's a tinge of sadness to this day. My heart goes out to everyone who was looking forward to celebrating with friends and receiving your diploma surrounded by those you love. Know I applaud all of your hard work , and make sure to take time to celebrate your all your successes. Click to watch my message to the graduating Class of 2020. Governor Mills has updated the quarantine rules for visitors coming to Maine. Beginning July 1, out-of-state visitors will not have to complete a 14 day quarantine if they have tested negative for COVID-19 within 72 hours of their arrival. Visitors from Vermont and New Hampshire are also exempt from quarantine beginning today. I was proud to announce that two students in my district will be attending the United States Air Force Academy. Sara Scrapchansky of Brunswick and Kelly Yoon of Falmouth have accepted offers to attend the Academy in Colorado. Acceptance to a U.S. service academy is extremely competitive and reflects highly on a student's scholarship, community service, and character. Read more about these outstanding students here . Congressional Update In Congress, we are working to promote racial justice and dismantle the systemic racism that has dictated inequities for far too long. This means that we're considering legislation to address police brutality as well as reforming our criminal justice system, expanding access to adequate housing, promoting good jobs, removing symbolic glorification of the Confederacy , and overhauling environmental issues that disproportionately harm communities of color. I'm pleased to report that Maine has been approved for an Area Eligibility waiver extension to serve offsite school meals through the summer. School nutrition programs across the country are working tirelessly to meet the tremendous challenge of feeding kids in the midst of this pandemic. Without a waiver, around 60 percent of the Maine students who currently receive school meals would lose access to a critical source of nutrition. This move by USDA will help kids and their families have continued access to meals through the summer. Frequently Asked Questions I own a business. Where should I go to find the latest guidance for re-opening? The Maine Department of Economic and Community Development's Restarting Maine's Economy guide has the most recently updated guidance and checklists for businesses that are reopening. In addition, The National Governors Association has created a public health and business re-opening tracker, which may help inform your decisions about re-opening. My family needs to access school meals this summer. How can I find the most up-to-date information about school meal sites? The Maine Department of Education has developed an interactive map outlining all available school meal sites daily, available here . My family member is in a nursing home, and their stimulus check was seized by the nursing home. Is this allowable? The Centers for Medicare and Medicaid Services (CMS) has said that nursing homes and assisted-living facilities are not allowed to confiscate their residents' Economic Stimulus Payments (aka stimulus checks). The practice is prohibited and considered misappropriation of resident property. The offending facilities could be subject to federal enforcement actions, including possible removal from participating in Medicaid and Medicare programs. If this has happened to you or someone you know, file a complaint with your state survey agency and contact your state attorney general. State specific complaint contact information is available here . Resources and Community Updates Instead of the summer's usual First Friday art walks, CreativePortland is hosting virtual arts events . Check out their calendar of events here . Don't forget to fill out your census! You can even do it online at . Request your absentee ballot for the July 14 primary through the Maine Secretary of State's office . Voting by mail keeps us safe from exposure to the coronavirus and allows us to make our voices heard. The Finance Authority of Maine's COVID-19 Consumer Loan guarantee program offers consumers low or no interest loans of up to $5,000. To apply, reach out to your local financial institution. More information is available here . If you or someone you know needs health care, food assistance, or financial support during this time, the Maine Department of Health and Human Services has complied information how to access programs such as MaineCare, TANF, Food Supplement, and Child Care Subsidy . More information is available here . Pride allows our vibrant LGBTQ community to celebrate themselves freely-no matter who they love, how they identify, or where they live. Though we can't commemorate Pride 2020 in person, Pride Across Maine is hosting a Virtual Pride on June 28 . More here . Stay Connected Portland Office Portland Fish Pier, Suite 304 Portland, ME 04101 Phone: (207) 774-5019 Toll Free: 1-888-862-6500 Fax: (207) 871-0720 Waterville Office 1 Silver Street Waterville, ME 04901 Phone: (207) 873-5713 Toll Free: 1-888-862-6500 Fax: (207) 873-5717 Washington, DC Office 2162 Rayburn House Office Building Washington, D.C. 20515 Phone: (202) 225-6116 Fax: (202) 225-5590   | Privacy Policy ",1.59198E+12,P000597,116,Chellie,Pingree,4/2/55,F,ME,1,Democrat,House,,166580,2020-06-12 16:40:00,,,,,,,,,0.6222029,,,,,,,,
24,Voting by Mail Survey," News from Representative Eshoo Dear friend, Listening to my constituents is a very important part of my job representing you. I hope you'll take a minute to share your thoughts with me through a quick survey. As the COVID-19 pandemic continues across the U.S., many states like California have implemented universal vote-by-mail systems for the upcoming federal elections in November to protect the health and safety of residents. Since April, Congress has appropriated $400 million to help states take action to protect voters during the COVID-19 pandemic, including instituting vote-by-mail systems. The House also approved an additional $3.6 billion in assistance for states to make voting safe during this public health crisis and requires states to allow all voters to vote-by-mail under the HEROES Act. Please click to take my survey to share your views and join my email list. Should Congress ensure that Americans in every state can vote by mail in November? Yes No Click to open in a separate window Sincerely, Anna G. Eshoo Member of Congress   | Privacy Click here to open this e-mail in its own browser window Click here to open a plain text version of this email ",1.59467E+12,E000215,116.0,Anna,Eshoo,12/13/42,F,CA,18.0,Democrat,House,,164981,2020-07-13 19:53:20,,,,,,,,0.59794563,,,,,,,,,
25,How to Vote During the Coronavirus Pandemic," Hi  , The right to vote is fundamental, and no American should be forced to choose between their health and their right to vote. As COVID-19 cases continue to rise, I want to ensure you know how to safely vote on August 11th and November 3rd. In our nation's history, we have never failed to hold regularly scheduled elections - even in times of war, natural disaster, and economic crisis. This year will be no different. Minnesota is doing everything possible to ensure our elections are safe, secure, accessible, and fair. This includes offering multiple accommodations to ensure that every Minnesotan can participate in our democracy : Vote By Mail allows you to safely and securely vote early from the comfort of your own home. To vote by mail, click here to apply to have an absentee ballot mailed to you. You can return your ballot by mail, or in person, no later than 3 p.m. on Election Day. While your envelope might have a box for a witness to sign, there is no witness requirement for registered voters for the August 11th primary election due to the coronavirus pandemic. Agent Delivery permits voters in special situations - like voters residing in nursing homes or assisted living facilities - to ask an agent to pick up and return a ballot for them. Voters can use agent delivery during the seven days before election day. Click here for more information about agent delivery. Voting Early In Person provides voters the ability to avoid the lines and crowds of Election Day by registering and voting early in person. All voters have at least one location where they can vote early in person. Click here to find out where you can vote early in person. Curbside Voting is an option for anyone who cannot enter the polling place for any reason, including health concerns. Curbside voting allows you to register and vote without leaving your vehicle. Two election judges will bring a ballot to you and, when you are finished voting, they will bring your ballot inside for you and put it in the ballot box. If you have questions about voting in the primary election on August 11th or the general election on November 3rd, contact the Office of the Secretary of State of Minnesota online at , by phone at 651-215-1440 or 1-877-600-VOTE (8683), or by email at @ . Our democracy depends on your participation, and in 2020 it's important to make a plan to vote safely. Let's continue building on Minnesota's success - our success - of consistently leading the nation in voter turnout at the ballot box (and the mailbox). Keep the faith and keep in touch, Dean Phillips Member of Congress Click here to tell me what issues are most important to YOU. Click here to sign-up for my newsletter updates. Washington, DC Office 1305 Longworth HOB Washington, DC 20515 Phone: (202) 225-2871 Minnetonka Office 13911 Ridgedale Drive, Suite 200 Minnetonka, MN 55305 Phone: (952) 656-5176   ",1.59499E+12,P000616,116.0,Dean,Phillips,1/20/69,M,MN,3.0,Democrat,House,,164848,2020-07-17 12:46:40,,,,,,0.5582559,,,,,,,,,,,
26,From the Office of Congressman Bobby L. Rush," Open this e-mail in its own browser window Open a plain text version of this email Dear Mrs.    : In the past several weeks, I have seen alarming reports regarding mailing issues across the 1st Congressional District, with many of my constituents complaining that they have not received any mail for weeks. I have also heard that many people in our district, and across the city of Chicago for that matter, have had various customer service issues with the Post Office as well. This is completely unacceptable, especially when so many rely on the Postal Service to receive lifesaving prescriptions by mail and countless families need the post office to pay their bills on time. I am also concerned what implications this service, or lack thereof, might have when it comes to our residents that vote by mail. That is why tomorrow afternoon I will be hosting a Community Listening Session to hear from my constituents about this issue and to better understand the breadth and depth of this problem. I will be joined by Mack Julion, the current President of the Chicago chapter of the National Association of Letter Carriers. To join us, please call 833-380-0416 at 5:00 pm CT. More information is available below. Sincerely, Bobby L. Rush Member of Congress Washington, D. C. Office 2188 Rayburn HOB Washington, D.C. 20515 Tel: (202) 225-4372 Fax: (202) 226-0333 Chicago Office 11750 S. Western Ave. Chicago, IL 60643-4732 Phone: (773) 779-2400 Fax: (773) 779-2401   | Privacy Policy ",1.59526E+12,R000515,116.0,Bobby,Rush,11/23/46,M,IL,1.0,Democrat,House,,164656,2020-07-20 15:46:40,,,,,,,,0.63306755,,,,,,,,,
27,Share your thoughts on mail-in voting with Congressman Devin Nunes," Click here to open this e-mail in its own browser window Click here to open a plain text version of this email Biography District Info Services Legislation News Center Contact My office is conducting a series of polls to collect information related to constituents of California's 22nd Congressional District. If you'd like to share your thoughts, please take this brief survey. If the survey is not displaying correctly, click on the link at the bottom of the survey to open it in a separate window. Do you believe the entire nation should move to a mail-in voting system for the 2020 presidential election, where each registered and active voter receives a mail-in ballot? Yes No Do you think mail-in voting is vulnerable to significant levels of fraud or do you think adequate protections exist to prevent significant levels of fraud? Vulnerable to significant levels of fraud. Adequate protections exist to prevent significant levels of fraud. Click to open in a separate window Please note that by participating in this survey, you will be registered to receive my e-newsletter that shares what I'm working on in Congress and at home in California. If you do not wish to receive future surveys, please click here. I hope you will reach out with any questions or concerns about current events and issues. Please feel free to email me at any time by clicking here . WASHINGTON, DC Longworth House Office Building Suite 1013 Washington, DC 20515 Main: (202) 225-2523 Fax: (202) 225-3404 VISALIA 113 North Church Street Suite 208 Visalia, CA 93291 Main: (559) 733-3861 Fax: (559) 733-3865 CLOVIS 264 Clovis Avenue Suite 206 Clovis, CA 93612 Main: (559) 323-5235 Fax: (559) 323-5528 ",1.59529E+12,N000181,116,Devin,Nunes,10/1/73,M,CA,22,Republican,House,,164636,2020-07-21 00:06:40,,,,,,,,0.7142421,,,,,,,,,
28,What you need to know about Vote-By-Mail," July 24, 2020 Constituent Services Contact: 561-998-9045 Dear Neighbor, This weekend, our nation lost an American hero and a tireless advocate for the right to vote, Congressman John Lewis. He dedicated his life to fighting for justice and equality, and his legacy reminds us of the power of going to the polls. As in past years, Floridians will have a choice of voting by mail, early in-person voting, or going to the polls on Election Day. VOTE-BY-MAIL IN FLORIDA You can register for a vote-by-mail ballot here . Any registered voter may request a vote-by-mail ballot before August 8th at 5pm for the primary election on August 18. Opting to vote by mail for the primary will also sign you up for a vote-by-mail ballot for the general election on November 3rd as well. You postage will be pre-paid in Palm Beach County. IS VOTING BY MAIL SAFE? Yes. Many states, including Florida, already allow vote-by-mail, and those that have all vote-by-mail elections have some of the highest turnout rates in the country without experiencing fraud. No one should have to choose between their right to vote and their health. CAN I STILL VOTE IN PERSON? Yes. If you choose to vote in person on election day, please double check to see if you have a new polling location , since some old ones will be closed due to COVID-19. Be sure to wear a mask and follow social distancing guidelines to keep yourself and others safe while you are at your polling place. Early voting will go from August 3rd through August 16th ( you can find early voting polling sites here ), and the polls will be open on election day, August 18th, from 7am-7pm. A SHARED RESPONSIBILITY As always, I encourage everyone to follow the CDC's best practices and rely on the CDC , Palm Beach County Health Department , and Florida Health Department for the most accurate and up-to-date information on confirmed cases. It's also not too late to participate in the 2020 Census! Your participation can help make sure our community gets the funding it needs to thrive. Click here to fill out a safe, secure census form. If you have questions, please feel free to reach out to my office in Boca Raton or D.C. by calling the numbers listed below. For regular updates, follow me on social media @RepLoisFrankel or sign up for my newsletter here . Sincerely, Congresswoman Lois Frankel Washington, DC Office 2305 Rayburn HOB Washington, DC 20515 Phone: 202-225-9890 Boca Raton District Office 2500 N. Military Trail, Suite 490 Boca Raton, FL 33431 Phone: 561-998-9045 Follow me on Twitter , Facebook , and Instagram @RepLoisFrankel for updates! Click here to  . ",1.5956E+12,F000462,116,Lois,Frankel,5/16/48,F,FL,21,Democrat,House,,164471,2020-07-24 14:13:20,,,,,,,,0.6038058,,,,,,,,,
29,Exercise Your Right: Vote by Mail is an Option," Exercise Your Right: Vote by Mail is an Option Congressman David Price Enews Sign Up | Visit My Website About David | Serving You | Issues | Newsroom | Contact GET CONNECTED: Dear    , Voting by mail is a safe and simple way to cast your ballot this fall. In North Carolina, any registered voter can apply to vote by mail. With the uncertainties surrounding the COVID-19 pandemic, voting by mail can help ensure that all our citizens have the opportunity to safely and securely exercise their right to vote. Below is information from the North Carolina State Board of Elections that includes instructions and important dates for those who prefer to vote by mail in the upcoming general election: How-to Vote by Mail: Send in a complete absentee ballot request form by email, fax, or hand-delivery to your County Board of Elections by 5:00 PM on October 27, 2020. Once you receive your ballot and fill it out: seal the ballot in the provided return envelope; and complete the Absentee Application and Certificate on the return envelope. Don't forget -- a witness must sign the return envelope for your ballot to be counted. Return your ballot by mail with the provided return envelope or deliver it in-person to the County Board of Elections by 5:00 PM November 3, 2020. Important Dates to Remember: October 27: The deadline to request your vote by mail ballot. November 3: Last day to return your completed ballot. Voting made simple: Check your registration status, absentee ballot request information & more with the NC Voter Search tool . DMV customers may now also register to vote online . Don't wait! Request your absentee ballot between now and October 27 th to ensure your vote gets counted in the upcoming general election. Sincerely, David Price Member of Congress WEBSITE |   | CONTACT Washington D.C. U.S. House of Representatives 2108 Rayburn Building Washington, DC 20515 Phone: 202.225.1784 Fax: 202.225.2014 Raleigh 436 N. Harrington St Suite 100 Raleigh, NC 27603 Phone: 919.859.5999 Fax: 919.859.5998 Chapel Hill 1777 Fordham Blvd, Suite 204 Chapel Hill, NC 27514 Phone: 919.967.7924 Fax: 919.967.8324 Click Here to view this email in your browser Click Here to be removed from this list ",1.59603E+12,P000523,116,David,Price,8/17/40,M,NC,4,Democrat,House,,164164,2020-07-29 13:40:00,,,,,,,,0.5760584,,,,,,,,,
30,What do you think? ," What do you think? If you are having trouble viewing this message or would like to share it on a social network, you can view the message online . Since the COVID-19 pandemic began, many states have implemented or discussed utilizing universal vote-by-mail, meaning every voter receives a ballot in advance of an election. In some instances, this system has resulted in lost ballots, ballots being sent to the wrong address or ballots sent to deceased individuals. Ensuring we have safe and secure elections is pivotal for the future of our democracy. While Congress has taken action to safeguard the election process, I'd like to hear from you. Please take a few moments to share your thoughts with me using the survey below. Do you support a universal mail-in ballot system in Texas? Yes No Unsure Currently, states are responsible for running their election systems, which body do you think is best equipped to handle elections? States should continue controlling elections The Federal government should take over elections Unsure *By answering this survey, you are subscribing to my newsletter. If you are having trouble, click here. Sign up for our newsletter! SUBSCRIBE RR Round Rock 1717 North IH 35 Suite 303 Round Rock, TX 78664 (512) 246-1600 BC Bell County 6544B S. General Bruce Drive Temple, TX 76502 Located next to the DPS office (254) 933-1392 DC Washington DC 2110 Rayburn H.O.B. Washington, D.C. 20515 (202) 225-3864 Update My Profile -   - Privacy Policy ",1.59648E+12,C001051,116,John,Carter,11/6/41,M,TX,31,Republican,House,,163820,2020-08-03 18:40:00,,,,,,,,0.61351264,,,,,,,,,
31,Congressman Jeff Van Drew Statement on Governor Murphy Imposition of All Mail-In Voting," News from Representative Van Drew For Immediate Release Contact: Scott Weldon (202)225-6572 Congressman Jeff Van Drew Statement on Governor Murphy Imposition of All Mail-In Voting MAYS LANDING - Today, Congressman Jeff Van Drew blasted the decision of Governor Murphy to require all voting this November General Election be done by mail. Any ballots cast in-person will be provisional, and not immediately counted. ""Governor Murphy is unilaterally threatening the integrity of this election. He continues to decide which science he agrees with and ignores what he does not; just yesterday, Dr. Anthony Fauci stated that in-person voting can be done safely,"" said Congressman Van Drew. ""Mail-in voting should be a part of a strategy to ensure safety, but allowing for a singular process that is time-consuming, unreliable and creates the potential for fraud is completely unacceptable."" ### Washington, DC Office 331 Cannon HOB Washington, DC 20515 Phone: (202) 225-6572 Mays Landing Office 5914 Main Street Suite 103 Mays Landing, NJ 08330 Phone: (609) 625-5008   | Privacy Open in browser window Open plain text version ",1.59742E+12,V000133,116,Jefferson,Van Drew,2/23/53,M,NJ,2,Republican,House,,163298,2020-08-14 15:46:40,,,,,,,,0.5559987,,,,,,,,,
32,Protecting the Postal Service," News from Representative Carson WEBSITE | CONTACT ME Forward to a Friend Upcoming Events: 'Office Hours in Your Neighborhood' has been temporarily suspended until further notice. August 14, 2020 Dear Friend, Every Hoosier and every American ought to be extremely concerned by this administration's attacks on the U.S. Postal Service (USPS). It seems clear they are deliberately trying to undermine the agency and slow service times in an attempt to sabotage vote-by-mail in the upcoming elections. In the middle of a pandemic, Americans who want to make their voices heard should not have to make the choice between risking their health by going to the polls, or risk their mail-in-ballot not being counted. This reckless assault on America's Postal Service isn't only a threat to our Democracy. It's also a threat to our livelihoods. Countless Americans depend on reliable U.S. Mail to do business, receive life-saving medications, keep in touch with loved ones, and much more. With the stakes so high, we must prevent this invaluable service from being crippled by partisan games. I have been proud to support efforts in Congress to modernize the Postal Service, but these recent attacks aren't about modernization or efficiencies. They are a deliberate strike against a service most working Hoosiers rely on every day. Congress has a constitutional duty to protect and support the Postal Service, and we're doing just that. This week, more than 170 of my congressional colleagues and I sent a letter to the Postmaster General demanding a reversal of the dangerous operational changes at the USPS. I also am continuing to urge the Senate and President Trump to support the Heroes Act -- the House's COVID-19 relief package that provides an additional $25 billion in funding for the U.S. Postal Service. If you are experiencing delays in service from the USPS, feel free to contact my office. Together, we can stop this attack on our Democracy and our well-being. Your Friend, André Washington, DC Office 2135 Rayburn House Office Building Washington, DC 20515 phone: 202-225-4011 fax: 202-225-5633 Indianapolis Office 300 E Fall Creek Pkwy. N. Dr. Suite 300 Indianapolis, IN 46205 phone: 317-283-6516   | Privacy Policy ",1.59743E+12,C001072,116,André,Carson,10/16/74,M,IN,7,Democrat,House,,163278,2020-08-14 18:33:20,,,,,,,,0.5651823,,,,,,,,,
